Continent,Region,Countries,ID,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,Western Africa,Gambia,gambia,77.85,69.66,69.91,72.66,76.23,84.28,92.51,97.22,95.53,97.34,94.55,94.3,94.17,92.35,90.06,86.95,82.49,78.11,73.46,69.3,65.09,60.87,57.15,54.18,51.9,50.21,49.14,48.47,48.15,48.24,48.69
Asia,Western Asia,Georgia,georgia,58.62,55.82,60.5,65.46,63.55,58.45,53.54,51.16,51.43,54.77,52.49,49.14,46.02,49.67,54.69,57.33,60.32,60.5,62.61,65.64,68.6,72.75,73.96,68.91,65.45,68.24,71.37,73.32,73.77,73.82,74.58
Europe,Western Europe,Germany,germany,49.09,45.91,48.25,54.76,58.37,57.22,51.79,43.69,45.06,46.59,46.94,49.85,52.02,52.42,56.27,61.77,70.23,77.84,79.46,80.22,82.95,85.94,86.71,86.62,85.84,84.96,85.34,86.86,88.68,90.08,90.94
Africa,Western Africa,Ghana,ghana,90.76,88.23,87.69,88.07,92.66,94.57,93.49,90.58,87.21,84.1,80.01,77.23,73.92,70.84,66.83,62.37,58.44,55.9,54.3,53.18,52.16,51.14,50.28,49.5,49.22,49.47,49.83,50.08,50.26,50.57,51.18
Europe,Southern Europe,Greece,greece,54.91,51.33,53.24,52.23,56.28,56.53,56.14,52.89,49.11,47.21,47.14,49.13,50.39,53.64,56.65,58.94,61.75,67.62,74.44,81.88,86.01,85.36,82.76,80.44,79.35,80.97,82.7,83.67,83.95,84.23,85.2
Latin America And The Caribbean,Central America,Guatemala,guatemala,89.11,92.37,93.9,92.29,90.59,91.23,93.63,95.41,95.1,94.39,92.72,90.29,84.98,79.65,74.27,69.44,65.08,61.33,58.45,56.59,55.63,55.18,55.5,56.21,57.31,58.6,60.19,62.04,63.98,66.03,68.15
Africa,Western Africa,Guinea,guinea,73.59,75.8,78.05,80.84,79.1,79.02,81.55,85.96,89.68,91.07,90.33,88.21,85.21,81.5,77.93,73.66,69.19,64.87,61.17,58.1,55.68,53.74,52.21,51.06,50.23,49.75,49.49,49.41,49.5,49.76,50.17
Africa,Western Africa,Guinea-Bissau,guinea-bissau,73.66,86.13,85.87,85.97,69.94,81.6,86.37,100.1,91.04,91.29,87.42,84.47,81.34,78.57,77.51,73.57,69.7,65,63.65,61.03,59.07,57.1,55.55,54.18,53.11,52.34,51.81,51.51,51.36,51.39,51.58
Latin America And The Caribbean,South America,Guyana,guyana,78.43,89.51,98.51,104.26,108.97,96.46,86.26,75.41,65.16,65.65,66.21,67.76,68.95,61.41,50.97,46.17,47.63,50.04,51.31,51.09,50.06,49.11,48.64,51.79,59.05,64.15,62.89,61.26,60.75,61.33,62.04
Latin America And The Caribbean,Caribbean,Haiti,haiti,76.38,75.75,77.08,82.16,83.48,82.32,82.21,86.02,89.03,86.94,79.57,73.13,68.39,63.26,59.62,56.3,53.54,51.09,48.9,47.99,48.8,49.79,50.84,52.01,53.09,54.29,55.64,57.03,58.39,59.64,60.81
Latin America And The Caribbean,Central America,Honduras,honduras,85.99,91.21,97.02,100.9,103.39,102.71,100.73,97.61,95.55,91.95,86.23,78.43,69.78,63.67,60.06,57.19,54.47,52.34,50.91,50.77,51.81,53.74,56.46,59.2,61.69,64.25,67.19,70.28,73.37,76.36,79.24
